method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold,publication_group,publication_source,publication_country,publication_year
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.0,-0.9,71.57458633835289,71.34668388339914,0.4618696886216994,1.0,0.0,328.6375364722694,172.4873070834286,1.0,3,48.64044067587227,50.69431562670425,-13.154971072055814,0.04387296452102466,-48.64044067587227,40.73037310170105,shared_publication_test,Ref-108-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.0,-0.9,71.40834047825811,71.40834047825811,0.05368583863409526,0.0,1.0,913.2172192084844,913.2172192084844,-0.9999999999999999,2,77.79461417564036,77.83116503956288,-59.57690251415676,1.0,77.79461417564036,77.79461417564036,shared_publication_test,Ref-109-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.0,-0.9,70.72582461108405,70.72582461108405,0.014613992769199058,0.0,1.0,489.9210259050871,489.9210259050871,0.9999999999999999,2,56.322672370242174,56.64799346261662,-157.4688969550941,1.0,56.322672370242174,56.322672370242174,shared_publication_test,Ref-111-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,70.8502339040328,70.84481217069157,0.0159419995994205,0.0,0.0,70.8502339040328,70.84481217069157,0.5,3,10.512831835935467,10.857739624786575,-12.232908304277228,0.6082328061519484,10.512831835935467,10.631740175066113,shared_publication_test,Ref-128-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,71.52864463488274,71.52864463488274,0.0,0.0,0.0,71.52864463488274,71.52864463488274,,2,6.308824745408245,7.6944976878465186,-2.051186270285437,,-6.308824745408245,6.308824745408245,shared_publication_test,Ref-133-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.8392857142857143,-0.06071428571428572,71.05574378914409,71.03517436921675,0.27729968308785036,0.017857142857142856,0.14285714285714285,104.20817885392806,71.14948735816716,0.24346165888710186,112,20.586144751517402,25.139267850293848,0.2945754534076951,0.7840093330040769,11.594299670529406,18.454866607742034,shared_publication_test,Ref-144-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.7,-0.20000000000000007,70.99317317908833,70.98342814197721,0.04804035776377896,0.3,0.0,83.34706877138758,71.04320612602524,-0.8545454545454544,10,17.389692179743868,22.90813300760724,-0.886282153388535,-0.9508709497664773,-14.77992425800135,10.60847190045645,shared_publication_test,Ref-160-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.5,-0.4,70.8653007263505,70.84489620274924,0.06574784997379275,0.5,0.0,205.30058921083807,144.2637280600353,0.942857142857143,6,40.13944880941498,41.54346953493911,-10.70294876549537,0.5346158509289779,-40.13944880941498,38.32941518240588,shared_publication_test,Ref-161-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,70.72880324279285,70.7326502506969,0.04303710542310744,0.0,0.0,70.72880324279285,70.7326502506969,0.5964912280701754,19,18.76480986934711,20.72128562656294,-0.9640235729235249,0.7491093674907896,-17.69801357267147,20.653137766544347,shared_publication_test,Ref-162-Research,shared_semantic_dataset,,
bayesian_ridge_conformalized,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,95.96077257501604,95.96347088655614,0.10806249156893709,0.0,0.0,95.96077257501604,95.96347088655614,-0.7999999999999999,4,23.51540660919912,25.63656261506705,-2.919393769459581,0.9895591278739388,23.51540660919912,18.53442913513868,shared_publication_test,Ref-9-Research,shared_semantic_dataset,,
