method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.3424657534246575,-0.5575342465753426,73.77008698521644,73.39758391670222,0.7864844163583165,0.6575342465753424,0.0,198.47120765834856,160.27867764217123,-0.328591707159543,73,40.93040338802712,42.130883079945214,-10.384509136281443,0.6230607861416141,-40.93040338802712,41.55394113350681,Ref-141-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.95,0.6986301369863014,-0.25136986301369857,87.90248035345516,87.45861557031833,0.9371539845288542,0.3013698630136986,0.0,188.12658885069564,88.87261287026321,-0.328591707159543,73,40.93040338802712,42.130883079945214,-10.384509136281443,0.6230607861416141,-40.93040338802712,41.55394113350681,Ref-141-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.5,0.0,-0.5,39.05709410051174,38.85987476684596,0.41639907330526793,1.0,0.0,124.66451945159673,126.82283428847427,-0.328591707159543,73,40.93040338802712,42.130883079945214,-10.384509136281443,0.6230607861416141,-40.93040338802712,41.55394113350681,Ref-141-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.8,0.2876712328767123,-0.5123287671232877,72.46359545814069,72.09768953655566,0.77255552907972,0.7123287671232876,0.0,139.28147011409834,122.7167219768101,-0.328591707159543,73,40.93040338802712,42.130883079945214,-10.384509136281443,0.6230607861416141,-40.93040338802712,41.55394113350681,Ref-141-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.8493150684931506,-0.050684931506849384,98.97651332782607,98.4767300629257,1.0552174804052576,0.1506849315068493,0.0,123.73596988495358,98.60901347556592,-0.328591707159543,73,40.93040338802712,42.130883079945214,-10.384509136281443,0.6230607861416141,-40.93040338802712,41.55394113350681,Ref-141-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.95,0.9452054794520548,-0.004794520547945158,126.99027258494318,126.34903345750621,1.3538803395632202,0.0547945205479452,0.0,134.20157079192887,126.38279003156185,-0.328591707159543,73,40.93040338802712,42.130883079945214,-10.384509136281443,0.6230607861416141,-40.93040338802712,41.55394113350681,Ref-141-Research
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.5,0.3835616438356164,-0.11643835616438358,27.385623333732976,27.435280922999,1.800316865012458,0.6164383561643836,0.0,48.57612462903163,33.25272333044627,-0.26530706696768735,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.5,0.7671232876712328,0.26712328767123283,43.88926452001,43.938922109276035,1.800316865012458,0.2328767123287671,0.0,51.87854626363528,44.681473955215324,-0.26530706696768735,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.8,0.863013698630137,0.06301369863013695,55.127841530559614,55.052169470471284,3.3091454336833586,0.136986301369863,0.0,67.17065363465042,55.98245922851224,-0.11005353039582982,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.8,0.9452054794520548,0.14520547945205475,80.68509339793798,80.60942133784962,3.3091454336833586,0.0547945205479452,0.0,83.13431571468094,80.70004125159598,-0.11005353039582982,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
