original_feature,repeat,baseline_rmse,permuted_rmse,rmse_delta
metakaolin,10,29.127843361357257,29.12349582542654,-0.004347535930715907
metakaolin,11,29.127843361357257,29.138092126412214,0.010248765054956976
metakaolin,12,29.127843361357257,29.12372445120879,-0.004118910148466881
metakaolin,13,29.127843361357257,29.136801596501826,0.008958235144568505
metakaolin,14,29.127843361357257,29.120174569906712,-0.007668791450544887
metakaolin,15,29.127843361357257,29.11901208935898,-0.008831271998278822
metakaolin,16,29.127843361357257,29.132615255439493,0.0047718940822356615
metakaolin,17,29.127843361357257,29.133183670821147,0.005340309463889525
metakaolin,18,29.127843361357257,29.136819516650807,0.008976155293549226
metakaolin,19,29.127843361357257,29.11913042142563,-0.008712939931626806
metakaolin,20,29.127843361357257,29.129718579825532,0.001875218468274653
metakaolin,21,29.127843361357257,29.14858553729528,0.020742175938021745
metakaolin,22,29.127843361357257,29.132615255439493,0.0047718940822356615
metakaolin,23,29.127843361357257,29.12576364365321,-0.0020797177040456916
metakaolin,24,29.127843361357257,29.141178970735552,0.013335609378295032
metakaolin,25,29.127843361357257,29.146464039124577,0.018620677767319904
metakaolin,26,29.127843361357257,29.141773035486395,0.013929674129137481
metakaolin,27,29.127843361357257,29.125083575399046,-0.0027597859582115802
metakaolin,28,29.127843361357257,29.14615748619267,0.01831412483541328
metakaolin,29,29.127843361357257,29.14685499486668,0.0190116335094217
ggbfs,0,29.127843361357257,29.167411535007513,0.039568173650256
ggbfs,1,29.127843361357257,29.163092774807346,0.035249413450088696
ggbfs,2,29.127843361357257,29.216128828928326,0.08828546757106892
ggbfs,3,29.127843361357257,29.215616979591616,0.08777361823435825
ggbfs,4,29.127843361357257,29.17432279714257,0.04647943578531155
ggbfs,5,29.127843361357257,29.177258824929183,0.0494154635719255
ggbfs,6,29.127843361357257,29.244309706597377,0.11646634524012
ggbfs,7,29.127843361357257,29.13509917101974,0.007255809662481738
ggbfs,8,29.127843361357257,29.21793371896847,0.09009035761121353
ggbfs,9,29.127843361357257,29.2124749192483,0.08463155789104349
ggbfs,10,29.127843361357257,29.204167363686363,0.07632400232910541
ggbfs,11,29.127843361357257,29.178729746884716,0.050886385527459055
ggbfs,12,29.127843361357257,29.186997228969688,0.05915386761243013
ggbfs,13,29.127843361357257,29.122880487681684,-0.004962873675573576
ggbfs,14,29.127843361357257,29.16995812373443,0.04211476237717093
ggbfs,15,29.127843361357257,29.17012971265286,0.04228635129560132
ggbfs,16,29.127843361357257,29.169724468834136,0.04188110747687901
ggbfs,17,29.127843361357257,29.153902891029393,0.02605952967213554
ggbfs,18,29.127843361357257,29.169609286984535,0.04176592562727777
ggbfs,19,29.127843361357257,29.146351439986244,0.018508078628986624
ggbfs,20,29.127843361357257,29.190098709338475,0.06225534798121757
ggbfs,21,29.127843361357257,29.069818657961907,-0.058024703395350485
ggbfs,22,29.127843361357257,29.19198950246349,0.06414614110623162
ggbfs,23,29.127843361357257,29.160390035187056,0.03254667382979903
ggbfs,24,29.127843361357257,29.108912822487273,-0.018930538869984304
ggbfs,25,29.127843361357257,29.135422446575593,0.00757908521833528
ggbfs,26,29.127843361357257,29.19740597992207,0.06956261856481305
ggbfs,27,29.127843361357257,29.17667153812449,0.048828176767234055
ggbfs,28,29.127843361357257,29.155153659310912,0.027310297953654583
ggbfs,29,29.127843361357257,29.143726210504347,0.015882849147089928
slag,0,29.127843361357257,28.16470649501816,-0.9631368663390987
slag,1,29.127843361357257,27.9414657540588,-1.186377607298457
slag,2,29.127843361357257,28.310026518887074,-0.817816842470183
slag,3,29.127843361357257,28.066377280120626,-1.061466081236631
slag,4,29.127843361357257,28.45513601148898,-0.6727073498682756
slag,5,29.127843361357257,28.384672710902763,-0.7431706504544948
slag,6,29.127843361357257,28.334478933832163,-0.7933644275250948
slag,7,29.127843361357257,28.02703113025272,-1.1008122311045376
slag,8,29.127843361357257,28.179505963647486,-0.9483373977097713
slag,9,29.127843361357257,28.067464715138286,-1.0603786462189717
slag,10,29.127843361357257,27.93618348258576,-1.191659878771496
slag,11,29.127843361357257,27.965888509173364,-1.161954852183893
slag,12,29.127843361357257,28.3782558544107,-0.7495875069465576
slag,13,29.127843361357257,28.49574591006642,-0.6320974512908357
slag,14,29.127843361357257,28.63758267655103,-0.490260684806227
slag,15,29.127843361357257,28.4459530460175,-0.6818903153397571
slag,16,29.127843361357257,28.63036294718384,-0.4974804141734168
slag,17,29.127843361357257,28.133647242279896,-0.9941961190773618
slag,18,29.127843361357257,28.021655074202204,-1.106188287155053
slag,19,29.127843361357257,28.47169553835924,-0.6561478229980189
slag,20,29.127843361357257,28.21969595407567,-0.9081474072815858
slag,21,29.127843361357257,28.021529209758835,-1.106314151598422
slag,22,29.127843361357257,28.667521655249466,-0.46032170610779133
slag,23,29.127843361357257,28.14022844679863,-0.9876149145586268
slag,24,29.127843361357257,28.414094426575737,-0.7137489347815205
slag,25,29.127843361357257,28.21381780408146,-0.9140255572757958
slag,26,29.127843361357257,27.888164622856195,-1.2396787385010626
