cement,cement_type,silica_fume,fly_ash,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,nano_caco3,nano_al2o3,nano_tio2,nano_sio2,filler,sand,sand_type,sand_max_size,water,sp_type,sp_amount,curing_method,curing_temp,cs_28d
839.0,OPC_I,94.0,0.0,0.0,0.0,0.0,0.0,94.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,,,147.0,PCE_SP,67.8,Standard Curing,,130.0
755.0,OPC_I,94.0,0.0,0.0,0.0,0.0,0.0,94.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,,,147.0,PCE_SP,64.98,Standard Curing,,111.5
839.0,OPC_I,78.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,940.0,,,147.0,PCE_SP,62.15,Standard Curing,,119.0
839.0,OPC_I,78.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,,,147.0,PCE_SP,64.98,Standard Curing,,121.0
839.0,OPC_I,52.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,,,147.0,PCE_SP,62.15,Standard Curing,,116.0
856.0,OPC_42.5,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,Quartz Sand,0.8,182.0,HRWRA,24.6,Standard Curing,20.0,157.0
589.0,OPC_42.5,214.0,161.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,Quartz Sand,0.8,182.0,HRWRA,16.1,Standard Curing,20.0,164.0
375.0,OPC_42.5,214.0,161.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,Quartz Sand,0.8,182.0,HRWRA,9.1,Standard Curing,20.0,144.0
1000.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,162.0
900.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,167.0
800.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,157.0
700.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,156.0
500.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,152.0
300.0,OPC_52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,132.0
1000.0,OPC_52.5,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,168.0
1000.0,OPC_52.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,152.0
1000.0,OPC_52.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,150.0
1000.0,OPC_52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,147.0
700.0,OPC_52.5,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,166.0
700.0,OPC_52.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,150.0
700.0,OPC_52.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,147.0
700.0,OPC_52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,137.0
300.0,OPC_52.5,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,130.0
300.0,OPC_52.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,120.5
300.0,OPC_52.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,108.0
300.0,OPC_52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,1250.0,Silica Sand,0.3,225.0,PCE_SP,24.8,Standard Curing,20.0,103.0
807.0,HS_cement,225.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,Quartz Sand,0.6,195.0,PCE_HRWRA,13.0,Standard Curing,20.0,169.0
724.0,HS_cement,224.0,0.0,0.0,241.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,Quartz Sand,0.6,195.0,PCE_HRWRA,13.0,Standard Curing,20.0,168.0
639.0,HS_cement,222.0,0.0,0.0,240.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,Quartz Sand,0.6,193.0,PCE_HRWRA,13.0,Standard Curing,20.0,173.0
556.0,HS_cement,221.0,0.0,0.0,238.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,Quartz Sand,0.6,192.0,PCE_HRWRA,13.0,Standard Curing,20.0,165.0
473.0,HS_cement,219.0,0.0,0.0,237.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.0,Quartz Sand,0.6,191.0,PCE_HRWRA,13.0,Standard Curing,20.0,157.0
392.0,HS_cement,217.0,0.0,0.0,235.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,Quartz Sand,0.6,190.0,PCE_HRWRA,13.0,Standard Curing,20.0,150.0
807.0,HS_cement,224.0,0.0,0.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,Quartz Sand,0.6,195.0,PCE_HRWRA,13.0,Standard Curing,20.0,172.0
807.0,HS_cement,224.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,Quartz Sand,0.6,195.0,PCE_HRWRA,13.0,Standard Curing,20.0,168.0
636.0,HS_cement,221.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,Quartz Sand,0.6,193.0,PCE_HRWRA,13.0,Standard Curing,20.0,168.0
